"Rank","Player","Team","Bye","POS","Yahoo","Sleeper","RTSports","AVG"
"1","Christian McCaffrey","SF","6 ","RB1","1","1","","1.0"
"2","Dalvin Cook","","","RB2","2","2","","2.0"
"3","Derrick Henry","BAL","8","RB3","3","3","","3.3"
"4","Alvin Kamara","NO","6","RB4","4","4","","3.8"
"5","Ezekiel Elliott","","","RB5","5","5","","5.0"
"6","Nick Chubb","HOU","10","RB6","6","6","","6.5"
"7","Aaron Jones Sr.","MIN","7","RB7","7","8","","7.8"
"8","Davante Adams","LAR","11","WR1","9","11","","8.3"
"9","Jonathan Taylor","IND","14","RB8","10","9","","10.0"
"10","Saquon Barkley","PHI","14","RB9","11","7","","10.3"
"11","Tyreek Hill","MIA","14","WR2","8","10","","10.3"
"12","Travis Kelce","KC","12","TE1","12","12","","10.8"
"13","Austin Ekeler","WAS","9","RB10","14","13","","12.5"
"14","Stefon Diggs","NE","14","WR3","13","15","","14.3"
"15","Najee Harris","LAC","7","RB11","16","14","","14.8"
"16","Antonio Gibson","NE","14","RB12","17","21","","17.5"
"17","Patrick Mahomes II","KC","12","QB1","15","19","","18.3"
"18","DeAndre Hopkins","BAL","8","WR4","19","16","","18.3"
"19","Joe Mixon","HOU","10","RB13","21","17","","19.0"
"20","Calvin Ridley","TEN","13","WR5","18","20","","19.0"
"21","DK Metcalf","PIT","7","WR6","20","18","","19.5"
"22","Clyde Edwards-Helaire","NO","6","RB14","23","22","","21.5"
"23","Darren Waller","MIA","14","TE2","25","25","","24.0"
"24","Justin Jefferson","MIN","7","WR7","22","28","","24.5"
"25","A.J. Brown","PHI","14","WR8","24","24","","24.8"
"26","George Kittle","SF","6","TE3","32","23","","27.8"
"27","Keenan Allen","","","WR9","31","26","","28.5"
"28","David Montgomery","DET","9","RB15","34","27","","28.8"
"29","Chris Carson ","","","RB16","33","29","","29.3"
"30","Terry McLaurin","WAS","9","WR10","29","30","","30.3"
"31","Josh Allen","BUF","7","QB2","26","36","","31.3"
"32","Allen Robinson","II","","WR11","30","32","","32.8"
"33","Josh Jacobs","GB","13","RB17","38","31","","33.5"
"34","CeeDee Lamb","DAL","7","WR12","35","37","","34.3"
"35","James Robinson ","","","RB18","51","33","","36.8"
"36","Mike Evans","TB","9","WR13","36","34","","36.8"
"37","D'Andre Swift","CHI","10","RB19","44","35","","38.0"
"38","Miles Sanders","DAL","7","RB20","42","38","","38.8"
"39","Kyler Murray","ARI","12","QB3","43","39","","40.3"
"40","Chris Godwin","TB","9 ","WR14","37","40","","41.0"
"41","Robert Woods","PIT","7 ","WR15","45","45","","41.8"
"42","Amari Cooper","","","WR16","41","41","","41.8"
"43","Lamar Jackson","BAL","8","QB4","39","46","","44.5"
"44","Cooper Kupp","SEA","9","WR17","40","47","","44.5"
"45","Julio Jones","","","WR18","49","43","","46.0"
"46","Kyle Pitts Sr.","ATL","6","TE4","46","44","","47.8"
"47","Tyler Lockett","TEN","13","WR19","47","51","","50.5"
"48","Darrell Henderson Jr.","","","RB21","50","42","","50.8"
"49","Myles Gaskin","","","RB22","63","53","","51.0"
"50","Mark Andrews","BAL","8","TE5","48","50","","51.5"
"51","DJ Moore","CHI","10","WR20","52","48","","52.8"
"52","Adam Thielen","CAR","13","WR21","56","52","","53.3"
"53","Kareem Hunt","KC","12","RB23","61","49","","53.8"
"54","Diontae Johnson","CLE","13","WR22","60","54","","54.0"
"55","Dak Prescott","DAL","7","QB5","55","58","","57.3"
"56","T.J. Hockenson","MIN","7 ","TE6","54","57","","58.3"
"57","Russell Wilson","NYG","10","QB6","53","55","","58.8"
"58","Aaron Rodgers","PIT","7","QB7","57","63","","59.3"
"59","Brandon Aiyuk","SF","6","WR23","62","59","","59.5"
"60","Justin Herbert","LAC","7","QB8","59","61","","62.5"
"61","Raheem Mostert","LV","8 ","RB24","74","66","","63.3"
"62","Damien Harris","","","RB25","66","72","","64.8"
"63","Tee Higgins","CIN","10","WR24","67","65","","65.3"
"64","Chase Edmonds","","","RB26","73","60","","65.5"
"65","Javonte Williams","DAL","7","RB27","83","64","","66.3"
"66","Chase Claypool","","","WR25","70","68","","67.3"
"67","Odell Beckham Jr.","","","WR26","71","69","","70.3"
"68","Gus Edwards ","","","RB28","75","73","","70.8"
"69","Jerry Jeudy","CLE","13","WR27","82","71","","73.3"
"70","Tom Brady","","","QB9","65","79","","73.8"
"71","Ja'Marr Chase","CIN","10","WR28","88","67","","74.0"
"72","Trey Sermon","PIT","7","RB29","76","76","","76.5"
"73","Ronald Jones","II","","RB30","79","74","","77.0"
"74","Kenny Golladay","","","WR29","91","70","","77.5"
"75","Michael Thomas ","","","WR30","104","62","","78.3"
"76","Melvin Gordon","III","","RB31","92","75","","79.3"
"77","Logan Thomas ","","","TE7","72","92","","79.5"
"78","Robbie Chosen","","","WR31","84","80","","81.5"
"79","JuJu Smith-Schuster","KC","12","WR32","90","77","","83.3"
"80","Noah Fant","CIN","10","TE8","89","82","","85.0"
"81","Courtland Sutton","DEN","11","WR33","101","78","","85.5"
"82","Deebo Samuel Sr.","WAS","9","WR34","93","81","","86.5"
"83","DeVonta Smith","PHI","14","WR35","115","83","","87.8"
"84","Antonio Brown ","","","WR36","103","93","","88.8"
"85","Robert Tonyan","KC","12 ","TE9","81","87","","88.8"
"86","Leonard Fournette","","","RB32","102","85","","91.0"
"87","Matthew Stafford","LAR","11","QB10","99","88","","91.3"
"88","Tyler Boyd","","","WR37","100","89","","92.5"
"89","Michael Carter","ARI","12","RB33","116","90","","94.0"
"90","Jalen Hurts","PHI","14","QB11","77","104","","94.5"
"91","A.J. Dillon","PHI","14","RB34","105","99","","94.8"
"92","Ryan Tannehill","","","QB12","96","102","","96.5"
"93","Zack Moss","","","RB35","108","94","","96.8"
"94","Tyler Higbee","LAR","11 ","TE10","69","105","","97.0"
"95","Dallas Goedert","PHI","14","TE11","95","86","","97.3"
"96","James Conner","ARI","12","RB36","106","98","","98.0"
"97","DJ Chark Jr.","ATL","6 ","WR38","118","84","","99.5"
"98","Los Angeles Rams","DST","11","DST1","68","111","","100.0"
"99","Brandin Cooks","NO","6","WR39","109","91","","100.8"
"100","Laviska Shenault Jr.","BUF","7","WR40","123","97","","101.5"
"101","Corey Davis ","","","WR41","113","100","","102.3"
"102","Tampa Bay Buccaneers","DST","9","DST2","85","101","","106.0"
"103","Pittsburgh Steelers","DST","7","DST3","87","123","","106.0"
"104","Kenyan Drake ","","","RB37","122","106","","108.5"
"105","Devin Singletary","NYG","10","RB38","125","113","","109.0"
"106","Mike Davis","","","RB39","64","56","","135.8"
"107","Jarvis Landry","","","WR42","129","95","","110.5"
"108","Jamaal Williams","","","RB40","120","118","","110.5"
"109","Washington Commanders","DST","9","DST4","78","117","","112.8"
"110","David Johnson","","","RB41","112","116","","113.3"
"111","Joe Burrow","CIN","10","QB13","117","125","","114.5"
"112","Rob Gronkowski","","","TE12","114","103","","114.5"
"113","William Fuller","V","","WR43","130","107","","115.3"
"114","Jaylen Waddle","MIA","14","WR44","152","96","","115.5"
"115","Sony Michel","","","RB42","111","108","","115.5"
"116","Mike Gesicki","CIN","10","TE13","119","112","","117.5"
"117","Michael Pittman Jr.","IND","14","WR45","156","110","","118.0"
"118","Marquez Callaway","SF","6","WR46","124","114","","118.0"
