"Rank","Player","G","ATT","YDS","Y/ATT","YBCON","YBCON/ATT","YACON","YACON/ATT","BRKTKL","TK LOSS","TK LOSS YDS","LNG TD","10+ YDS","20+ YDS","30+ YDS","40+ YDS","50+ YDS","LNG","REC","TGT","RZ TGT","YACON"
"1","Jonathan Taylor (IND)","17","332","1,811","5.5","865","2.6","946","2.8","25","32","-59","78","50","14","8","5","3","83","40","51","2","93"
"2","Austin Ekeler (WAS)","16","206","911","4.4","476","2.3","435","2.1","13","16","-31","14","22","3","0","0","0","28","70","94","16","172"
"3","Joe Mixon (HOU)","16","292","1,205","4.1","655","2.2","550","1.9","20","24","-49","21","26","6","1","0","0","32","42","48","7","55"
"4","Najee Harris (LAC)","17","307","1,200","3.9","525","1.7","675","2.2","30","26","-50","37","28","6","2","0","0","37","74","94","14","219"
"5","James Conner (ARI)","15","202","752","3.7","331","1.6","421","2.1","19","14","-36","18","15","3","1","0","0","35","37","39","1","145"
"6","Ezekiel Elliott (FA)","17","237","1,002","4.2","592","2.5","410","1.7","9","16","-22","13","24","3","1","1","0","47","47","65","14","66"
"7","Nick Chubb (HOU)","14","228","1,259","5.5","567","2.5","692","3.0","23","20","-43","70","41","12","4","2","2","70","20","25","1","52"
"8","Damien Harris (FA)","15","202","929","4.6","469","2.3","461","2.3","15","19","-45","64","23","8","4","1","1","64","18","20","2","19"
"9","Alvin Kamara (NO)","13","240","898","3.7","549","2.3","349","1.5","22","28","-54","23","21","3","1","0","0","30","47","67","12","87"
"10","Antonio Gibson (NE)","16","258","1,037","4.0","534","2.1","503","1.9","19","21","-55","18","24","4","0","0","0","27","42","52","6","131"
"11","Leonard Fournette (FA)","14","180","812","4.5","396","2.2","416","2.3","11","12","-18","47","15","5","1","1","0","47","69","84","15","163"
"12","Cordarrelle Patterson (FA)","16","153","618","4.0","325","2.1","293","1.9","7","10","-20","12","20","2","1","0","0","39","52","69","12","170"
