"Rank","Player","G","REC","YDS","Y/R","YBC","YBC/R","AIR","AIR/R","YAC","YAC/R","YACON","YACON/R","BRKTKL","TGT","% TM","CATCHABLE","DROP","RZ TGT","10+ YDS","20+ YDS","30+ YDS","40+ YDS","50+ YDS","LNG"
"1","George Kittle (SF)","15","78","1,106","14.2","584","7.5","767","9.8","522","6.7","187","2.4","4","94","18.3%","80","2","19","45","21","9","2","0","43"
"2","Brock Bowers (LV)","17","112","1,194","10.7","598","5.3","933","8.3","596","5.3","169","1.5","6","153","25.8%","118","6","14","49","15","3","1","1","57"
"3","Trey McBride (ARI)","16","111","1,146","10.3","633","5.7","901","8.1","513","4.6","167","1.5","5","147","28.1%","114","3","20","47","10","2","0","0","37"
"4","Jonnu Smith (PIT)","17","88","884","10.0","374","4.3","545","6.2","510","5.8","136","1.5","8","111","19.5%","94","6","18","45","4","2","1","1","57"
"5","Mark Andrews (BAL)","17","55","673","12.2","485","8.8","726","13.2","188","3.4","89","1.6","1","69","15.1%","59","4","15","31","6","3","1","1","67"
"6","Sam LaPorta (DET)","16","60","726","12.1","383","6.4","580","9.7","343","5.7","118","2.0","3","83","15.9%","61","1","17","30","11","4","1","1","52"
"7","Tucker Kraft (GB)","17","50","707","14.1","251","5.0","371","7.4","456","9.1","198","4.0","9","70","15.1%","55","5","15","27","11","4","2","2","67"
"8","Zach Ertz (WAS)","17","66","654","9.9","467","7.1","671","10.2","187","2.8","65","1.0","0","91","18.1%","70","4","21","28","7","1","0","0","37"
"9","Pat Freiermuth (PIT)","17","65","653","10.0","374","5.8","480","7.4","279","4.3","97","1.5","4","78","17.0%","68","4","12","24","7","1","0","0","30"
"10","Travis Kelce (KC)","16","97","823","8.5","482","5.0","857","8.8","341","3.5","98","1.0","3","133","23.3%","103","6","25","28","9","1","0","0","38"
"11","David Njoku (CLE)","11","64","505","7.9","254","4.0","513","8.0","251","3.9","71","1.1","4","97","15.3%","70","7","12","17","4","0","0","0","29"
"12","Kyle Pitts Sr. (ATL)","17","47","602","12.8","330","7.0","634","13.5","272","5.8","121","2.6","4","74","13.7%","51","4","13","21","7","5","3","2","52"
"13","Isaiah Likely (BAL)","16","42","477","11.4","221","5.3","462","11.0","256","6.1","76","1.8","3","58","12.7%","43","2","13","18","4","2","2","0","49"
"14","Cade Otton (TB)","14","59","600","10.2","289","4.9","475","8.1","311","5.3","145","2.5","6","87","15.5%","67","8","14","22","7","2","1","0","44"
"15","Taysom Hill (NO)","8","23","187","8.1","50","2.2","109","4.7","137","6.0","54","2.3","2","31","6.0%","25","2","2","6","2","1","0","0","34"
"16","Hunter Henry (NE)","16","66","674","10.2","406","6.2","682","10.3","268","4.1","97","1.5","2","97","19.4%","68","2","16","31","4","3","0","0","35"
"17","Mike Gesicki (CIN)","17","65","665","10.2","420","6.5","615","9.5","245","3.8","55","0.8","0","83","13.2%","71","5","10","29","5","2","1","0","47"
"18","Cole Kmet (CHI)","17","47","474","10.1","293","6.2","393","8.4","181","3.9","47","1.0","1","55","10.4%","48","1","8","19","7","1","0","0","31"
"19","Noah Gray (KC)","17","40","437","10.9","227","5.7","304","7.6","210","5.3","39","1.0","0","49","8.6%","42","2","8","21","6","1","0","0","35"
"20","Juwan Johnson (NO)","17","50","548","11.0","336","6.7","540","10.8","212","4.2","49","1.0","3","66","12.8%","53","3","6","26","8","1","0","0","30"
"21","Foster Moreau (NO)","17","32","413","12.9","255","8.0","397","12.4","158","4.9","54","1.7","2","43","8.3%","32","0","9","15","7","4","1","0","41"
"22","Tyler Conklin (LAC)","16","51","449","8.8","187","3.7","352","6.9","262","5.1","76","1.5","0","72","12.2%","52","1","8","21","7","0","0","0","27"
"23","Dalton Schultz (HOU)","17","53","532","10.0","318","6.0","689","13.0","214","4.0","62","1.2","0","85","15.5%","57","4","7","20","5","1","0","0","32"
"24","Austin Hooper (NE)","17","45","476","10.6","251","5.6","345","7.7","225","5.0","70","1.6","3","59","11.8%","47","1","8","17","5","1","0","0","38"
"25","Dallas Goedert (PHI)","10","42","496","12.3","260","6.0","373","8.7","270","6.3","73","1.7","2","52","12.4%","44","1","9","18","7","5","2","1","61"
"26","Chig Okonkwo (TEN)","17","52","479","9.2","230","4.4","427","8.2","249","4.8","113","2.2","5","70","13.8%","55","3","5","15","4","1","1","1","70"
"27","Will Dissly (LAC)","15","50","481","9.6","178","3.6","295","5.9","303","6.1","100","2.0","4","64","13.0%","54","4","8","20","5","0","0","0","29"
"28","Dalton Kincaid (BUF)","13","44","448","10.2","174","4.0","565","12.8","274","6.2","101","2.3","4","75","15.2%","50","6","10","18","5","0","0","0","29"
"29","Noah Fant (CIN)","14","48","500","10.4","223","4.6","344","7.2","277","5.8","85","1.8","2","64","11.2%","49","1","5","25","3","1","0","0","32"
"30","Brenton Strange (JAC)","17","40","411","10.3","228","5.7","341","8.5","183","4.6","97","2.4","3","53","10.2%","43","3","6","15","7","1","0","0","30"
"31","Jordan Akins (FA)","16","40","390","9.8","213","5.3","349","8.7","177","4.4","60","1.5","1","58","9.1%","41","1","7","18","3","0","0","0","21"
"32","AJ Barner (SEA)","17","30","245","8.2","81","2.7","136","4.5","164","5.5","49","1.6","1","38","6.7%","33","3","7","11","1","0","0","0","20"
