"Rank","Player","G","REC","YDS","Y/R","YBC","YBC/R","AIR","AIR/R","YAC","YAC/R","YACON","YACON/R","BRKTKL","TGT","% TM","CATCHABLE","DROP","RZ TGT","10+ YDS","20+ YDS","30+ YDS","40+ YDS","50+ YDS","LNG"
"1","Michael Thomas (FA)","16","149","1,725","11.6","1,142","7.7","0","0.0","583","3.9","163","1.1","5","185","33.1%","157","6","22","73","17","5","3","0","49"
"2","Chris Godwin (TB)","14","86","1,333","15.5","756","8.8","0","0.0","577","6.7","279","3.2","8","121","19.9%","89","1","13","57","25","8","3","2","71"
"3","Kenny Golladay (FA)","16","65","1,190","18.3","886","13.6","0","0.0","304","4.7","71","1.1","1","116","21.1%","71","6","15","43","22","12","6","3","75"
"4","Cooper Kupp (SEA)","16","94","1,161","12.4","623","6.6","0","0.0","538","5.7","159","1.7","9","134","21.9%","98","3","18","41","21","5","4","3","66"
"5","Julio Jones (FA)","15","99","1,394","14.1","1,030","10.4","0","0.0","364","3.7","133","1.3","7","157","24.0%","108","4","16","62","21","8","3","2","54"
"6","DeVante Parker (FA)","16","72","1,202","16.7","939","13.0","0","0.0","263","3.7","91","1.3","2","128","21.1%","79","6","14","54","21","9","7","2","51"
"7","Amari Cooper (FA)","16","79","1,189","15.1","911","11.5","0","0.0","278","3.5","79","1.0","4","119","20.7%","84","5","9","46","17","7","6","1","53"
"8","Mike Evans (TB)","13","67","1,157","17.3","901","13.4","0","0.0","256","3.8","107","1.6","3","118","19.4%","81","7","16","49","17","7","7","3","67"
"9","DeAndre Hopkins (BAL)","15","104","1,165","11.2","778","7.5","0","0.0","387","3.7","144","1.4","9","150","29.0%","111","4","13","51","16","7","1","0","43"
"10","A.J. Brown (PHI)","16","52","1,051","20.2","586","11.3","0","0.0","465","8.9","248","4.8","8","84","19.6%","55","2","8","39","15","11","8","6","91"
"11","Keenan Allen (FA)","16","104","1,199","11.5","825","7.9","0","0.0","374","3.6","107","1.0","4","149","25.9%","114","7","19","53","15","5","1","0","45"
"12","Allen Robinson II (FA)","16","98","1,147","11.7","875","8.9","0","0.0","272","2.8","84","0.9","5","154","27.2%","105","7","20","45","15","6","1","0","49"
