"Rank","Player","COMP","ATT","PCT","YDS","Y/A","TD","INT","SACKS","ATT","YDS","TD","PCT","FL","G","FPTS","FPTS/G","ROST %"
"1","Aaron Rodgers (PIT)","56","79","70.9%","308","3.9","32","0","2","4","23","3","66.7%","0","16","160.6","10.0","21.1%"
"2","Josh Allen (BUF)","52","84","61.9%","330","3.9","23","0","4","24","53","7","100.0%","2","16","155.7","9.7","99.5%"
"3","Kyler Murray (ARI)","45","67","67.2%","271","4.0","19","2","1","24","115","9","100.0%","0","16","152.3","9.5","89.5%"
"4","Ryan Tannehill (FA)","44","68","64.7%","346","5.1","25","2","4","7","41","4","70.0%","0","16","141.9","8.9","1.1%"
"5","Tom Brady (FA)","52","85","61.2%","337","4.0","27","0","4","7","5","3","100.0%","0","16","140.0","8.8","3.7%"
"6","Russell Wilson (NYG)","52","75","69.3%","354","4.7","27","3","2","5","5","2","83.3%","0","16","134.7","8.4","15.6%"
"7","Patrick Mahomes II (KC)","48","81","59.3%","299","3.7","26","2","3","10","26","2","90.9%","1","15","128.6","8.6","96.5%"
"8","Kirk Cousins (ATL)","40","63","63.5%","335","5.3","26","0","3","4","18","0","100.0%","1","16","117.2","7.3","8.7%"
"9","Lamar Jackson (BAL)","39","57","68.4%","260","4.6","18","0","4","31","120","4","96.9%","3","15","112.4","7.5","98.8%"
"10","Justin Herbert (LAC)","41","73","56.2%","293","4.0","18","1","5","15","32","4","100.0%","0","15","110.9","7.4","87.7%"
"11","Deshaun Watson (CLE)","45","78","57.7%","279","3.6","16","0","4","18","104","3","100.0%","1","16","101.6","6.4","7.5%"
"12","Cam Newton (FA)","18","35","51.4%","110","3.1","4","1","2","41","93","12","95.3%","1","15","99.7","6.6","6.4%"
"13","Ben Roethlisberger (FA)","46","80","57.5%","385","4.8","21","2","1","6","-3","0","100.0%","0","15","99.1","6.6","9.5%"
"14","Baker Mayfield (TB)","42","67","62.7%","270","4.0","20","0","2","11","20","1","100.0%","0","16","98.8","6.2","94.7%"
"15","Drew Brees (FA)","41","65","63.1%","339","5.2","18","1","0","3","3","2","75.0%","0","12","97.9","8.2","24.1%"
"16","Derek Carr (FA)","44","81","54.3%","276","3.4","16","1","2","11","40","3","78.6%","0","16","97.0","6.1","15.1%"
"17","Jared Goff (DET)","37","56","66.1%","246","4.4","15","1","3","7","12","4","100.0%","1","15","93.0","6.2","82.1%"
"18","Matt Ryan (FA)","44","81","54.3%","279","3.4","18","1","8","5","26","1","100.0%","0","16","91.8","5.7","0.1%"
"19","Carson Wentz (FA)","28","52","53.8%","201","3.9","12","3","5","12","41","5","75.0%","0","12","90.1","7.5","1.3%"
"20","Matthew Stafford (LAR)","37","68","54.4%","267","3.9","17","3","3","6","21","0","100.0%","0","16","80.8","5.1","35.6%"
"21","Teddy Bridgewater (TB)","31","53","58.5%","170","3.2","9","1","2","18","104","5","94.7%","2","15","79.2","5.3","0.8%"
"22","Philip Rivers (FA)","47","77","61.0%","331","4.3","16","1","5","3","0","0","50.0%","0","16","77.2","4.8","20.6%"
"23","Drew Lock (SEA)","28","46","60.9%","212","4.6","11","2","2","8","32","3","80.0%","0","13","73.7","5.7","1.9%"
"24","Gardner Minshew II (KC)","26","59","44.1%","199","3.4","14","0","3","2","6","1","66.7%","1","9","68.6","7.6","2.4%"
"25","Mitchell Trubisky (BUF)","23","46","50.0%","173","3.8","13","2","0","8","27","1","80.0%","0","10","67.6","6.8","0.7%"
"26","Joe Burrow (CIN)","30","55","54.5%","193","3.5","12","2","6","10","19","2","83.3%","1","10","67.6","6.8","98.2%"
"27","Tua Tagovailoa (MIA)","18","32","56.3%","97","3.0","9","1","1","8","15","3","44.4%","0","10","59.4","5.9","41.8%"
"28","Ryan Fitzpatrick (FA)","17","34","50.0%","108","3.2","10","3","2","10","26","2","55.6%","0","10","58.9","5.9","1.0%"
"29","Nick Mullens (JAC)","30","45","66.7%","219","4.9","11","3","1","1","0","0","100.0%","0","10","52.8","5.3","1.1%"
"30","Andy Dalton (CAR)","26","45","57.8%","149","3.3","11","2","4","2","1","0","25.0%","0","11","50.1","4.6","0.8%"
"31","Dak Prescott (DAL)","13","22","59.1%","97","4.4","4","1","0","6","25","3","75.0%","0","5","47.5","9.5","81.3%"
"32","Nick Foles (FA)","21","39","53.8%","114","2.9","7","1","3","2","1","1","20.0%","0","9","38.7","4.3","1.0%"
"33","Daniel Jones (IND)","33","63","52.4%","154","2.4","6","3","1","4","25","0","66.7%","0","14","32.7","2.3","20.0%"
"34","Sam Darnold (SEA)","13","34","38.2%","99","2.9","5","1","3","1","4","1","50.0%","0","12","30.4","2.5","32.2%"
"35","Dwayne Haskins (FA)","15","23","65.2%","109","4.7","4","0","3","7","2","1","77.8%","1","7","24.6","3.5","0.1%"
"36","Jimmy Garoppolo (LAR)","13","21","61.9%","86","4.1","5","1","1","0","0","0","0.0%","0","6","23.4","3.9","1.9%"
"37","Joe Flacco (CLE)","6","12","50.0%","64","5.3","4","0","0","1","5","0","50.0%","0","5","19.1","3.8","10.4%"
"38","Brandon Allen (TEN)","9","17","52.9%","64","3.8","4","0","0","0","0","0","0.0%","0","5","18.6","3.7","0.1%"
"39","Jacoby Brissett (ARI)","0","1","0.0%","0","0.0","0","0","1","3","4","3","50.0%","0","11","18.4","1.7","3.2%"
"40","Jalen Hurts (PHI)","5","9","55.6%","34","3.8","3","1","5","4","8","1","25.0%","1","15","18.2","1.2","98.6%"
"41","Alex Smith (FA)","14","26","53.8%","99","3.8","3","1","5","0","0","0","0.0%","0","8","16.0","2.0","5.0%"
"42","Kyle Allen (DET)","5","9","55.6%","32","3.6","2","0","0","2","7","1","22.2%","0","4","16.0","4.0","1.1%"
"43","Jeff Driskel (FA)","4","7","57.1%","49","7.0","3","0","2","1","9","0","10.0%","0","3","14.9","5.0","0.0%"
"44","C.J. Beathard (FA)","8","10","80.0%","58","5.8","3","0","2","0","0","0","0.0%","0","6","14.3","2.4","0.0%"
"45","Jake Luton (FA)","3","5","60.0%","18","3.6","1","1","0","1","13","1","33.3%","0","3","12.0","4.0","0.0%"
"46","Mike Glennon (FA)","6","11","54.5%","42","3.8","2","0","0","0","0","0","0.0%","0","5","9.7","1.9","1.0%"
"47","Marcus Mariota (WAS)","1","3","33.3%","7","2.3","0","0","0","3","11","1","21.4%","0","1","7.4","7.4","2.1%"
"48","Chad Henne (FA)","1","1","100.0%","2","2.0","0","0","1","1","1","1","9.1%","0","3","6.2","2.1","0.6%"
"49","Ryan Finley (FA)","4","5","80.0%","33","6.6","1","1","1","2","8","0","16.7%","0","5","6.1","1.2","0.0%"
"50","P.J. Walker (FA)","3","5","60.0%","29","5.8","1","2","0","1","2","0","5.3%","0","4","5.4","1.4","0.0%"
"51","Garrett Gilbert (FA)","2","5","40.0%","21","4.2","1","1","1","0","0","0","0.0%","0","2","4.8","2.4","0.0%"
"52","Chase Daniel (FA)","3","5","60.0%","18","3.6","1","0","0","0","0","0","0.0%","0","4","4.7","1.2","0.0%"
"53","Brett Rypien (MIN)","4","7","57.1%","17","2.4","1","1","1","1","-1","0","10.0%","0","3","4.6","1.5","0.0%"
"54","Colt McCoy (FA)","4","10","40.0%","-2","-0.2","1","1","0","2","7","0","33.3%","0","4","4.6","1.2","0.0%"
"55","Jarrett Stidham (DEN)","1","3","33.3%","4","1.3","1","0","0","2","-2","0","4.7%","0","5","4.0","0.8","0.9%"
"56","Robert Griffin III (FA)","0","1","0.0%","0","0.0","0","0","0","1","11","0","3.1%","0","4","1.1","0.3","1.0%"
"57","Jameis Winston (NYG)","2","4","50.0%","18","4.5","0","0","2","1","3","0","25.0%","0","4","1.0","0.3","4.5%"
"58","Taylor Heinicke (LAC)","1","2","50.0%","9","4.5","0","0","1","0","0","0","0.0%","0","1","0.4","0.4","0.6%"
