"Rank","Player","REC","TGT","REC PCT","YDS","Y/R","TD","TGT PCT","ATT","YDS","TD","PCT","FL","G","FPTS","FPTS/G","ROST %"
"1","Mark Andrews (BAL)","12","15","80.0%","109","9.1","10","51.7%","0","0","0","0%","0","17","70.9","4.2","93.7%"
"2","George Kittle (SF)","18","21","85.7%","135","7.5","8","95.5%","0","0","0","0%","0","15","61.5","4.1","98.2%"
"3","Tucker Kraft (GB)","11","15","73.3%","103","9.4","6","83.3%","0","0","0","0%","0","17","46.3","2.7","84.9%"
"4","Jonnu Smith (PIT)","11","14","78.6%","66","6.0","6","63.6%","1","0","0","100.0%","0","17","42.6","2.5","72.5%"
"5","Zach Ertz (WAS)","10","18","55.6%","65","6.5","6","90.0%","0","0","0","0%","0","17","42.5","2.5","43.2%"
"6","Pat Freiermuth (PIT)","11","13","84.6%","94","8.5","5","76.5%","0","0","0","0%","0","17","39.4","2.3","30.7%"
"7","Sam LaPorta (DET)","11","19","57.9%","80","7.3","5","79.2%","0","0","0","0%","0","16","38.0","2.4","97.8%"
"8","Isaiah Likely (BAL)","8","13","61.5%","56","7.0","5","44.8%","0","0","0","0%","0","16","35.6","2.2","46.1%"
"9","Noah Gray (KC)","9","10","90.0%","63","7.0","4","26.3%","0","0","0","0.0%","0","17","30.3","1.8","9.8%"
"10","Travis Kelce (KC)","19","26","73.1%","106","5.6","3","68.4%","1","1","0","100.0%","0","16","28.7","1.8","95.9%"
"11","David Njoku (CLE)","5","14","35.7%","44","8.8","4","66.7%","0","0","0","0%","0","11","28.4","2.6","91.8%"
"12","Cade Otton (TB)","10","16","62.5%","58","5.8","4","84.2%","0","0","0","0%","1","14","27.8","2.0","33.1%"
"13","Foster Moreau (NO)","5","8","62.5%","34","6.8","4","50.0%","0","0","0","0.0%","0","17","27.4","1.6","1.6%"
"14","Taysom Hill (NO)","2","2","100.0%","7","3.5","0","12.5%","9","38","4","100.0%","1","8","26.5","3.3","19.2%"
"15","Juwan Johnson (NO)","5","6","83.3%","42","8.4","3","37.5%","0","0","0","0.0%","0","17","22.2","1.3","17.6%"
"16","AJ Barner (SEA)","4","5","80.0%","35","8.8","3","50.0%","0","0","0","0%","0","17","21.5","1.3","3.9%"
"17","Cole Kmet (CHI)","8","8","100.0%","31","3.9","3","80.0%","0","0","0","0%","0","17","21.1","1.2","25.3%"
"18","Nate Adkins (DEN)","3","3","100.0%","30","10.0","3","37.5%","0","0","0","0%","0","17","21.0","1.2","1.0%"
"19","Tyler Conklin (LAC)","5","8","62.5%","22","4.4","3","66.7%","0","0","0","0%","0","16","20.2","1.3","8.0%"
"20","Josh Oliver (MIN)","3","3","100.0%","21","7.0","3","18.8%","0","0","0","0%","0","15","20.1","1.3","1.0%"
"21","Trey McBride (ARI)","10","21","47.6%","77","7.7","1","87.5%","1","2","1","100.0%","0","16","19.9","1.2","98.3%"
"22","Nick Vannett (MIN)","4","5","80.0%","17","4.3","3","38.5%","0","0","0","0%","0","13","19.7","1.5","0.0%"
"23","Hunter Henry (NE)","10","19","52.6%","62","6.2","2","70.4%","0","0","0","0%","0","16","18.2","1.1","51.2%"
"24","Adam Trautman (DEN)","4","5","80.0%","47","11.8","2","62.5%","0","0","0","0%","0","17","16.7","1.0","0.7%"
"25","Dallas Goedert (PHI)","5","9","55.6%","43","8.6","2","81.8%","0","0","0","0%","0","10","16.3","1.6","78.4%"
"26","Dalton Kincaid (BUF)","5","10","50.0%","40","8.0","2","58.8%","0","0","0","0%","0","13","16.0","1.2","79.2%"
"27","Kyle Pitts Sr. (ATL)","3","12","25.0%","32","10.7","2","100.0%","0","0","0","0%","0","17","15.2","0.9","58.1%"
"28","Austin Hooper (NE)","3","8","37.5%","28","9.3","2","29.6%","0","0","0","0%","0","17","14.8","0.9","4.7%"
"29","Elijah Higgins (ARI)","3","3","100.0%","27","9.0","2","12.5%","0","0","0","0.0%","0","17","14.7","0.9","1.3%"
"30","Brock Wright (DET)","5","5","100.0%","26","5.2","2","20.8%","0","0","0","0%","0","17","14.6","0.9","0.8%"
"31","Johnny Mundt (JAC)","3","5","60.0%","13","4.3","2","31.3%","0","0","0","0%","0","15","13.3","0.9","0.1%"
"32","Brenton Strange (JAC)","2","6","33.3%","10","5.0","2","46.2%","0","0","0","0%","0","17","13.0","0.8","30.9%"
"33","Dalton Schultz (HOU)","5","7","71.4%","38","7.6","1","70.0%","0","0","0","0%","0","17","9.8","0.6","15.6%"
"34","Evan Engram (DEN)","3","4","75.0%","34","11.3","1","30.8%","0","0","0","0%","0","9","9.4","1.0","88.9%"
"35","Mike Gesicki (CIN)","5","9","55.6%","33","6.6","1","50.0%","0","0","0","0.0%","0","17","9.3","0.5","23.8%"
"36","Colby Parkinson (LAR)","2","9","22.2%","26","13.0","1","52.9%","0","0","0","0%","0","17","8.6","0.5","4.4%"
"37","Cade Stover (HOU)","3","3","100.0%","24","8.0","1","30.0%","0","0","0","0%","0","15","8.4","0.6","2.6%"
"38","Mo Alie-Cox (IND)","2","5","40.0%","24","12.0","1","35.7%","0","0","0","0%","0","17","8.4","0.5","0.6%"
"39","Josh Whyle (TEN)","2","3","66.7%","20","10.0","1","23.1%","0","0","0","0%","0","17","8.0","0.5","0.6%"
