"Rank","Player","REC","TGT","REC PCT","YDS","Y/R","TD","TGT PCT","ATT","YDS","TD","PCT","FL","G","FPTS","FPTS/G","ROST %"
"1","Amon-Ra St. Brown (DET)","23","31","74.2%","162","7.0","9","59.6%","1","10","0","50.0%","0","17","75.5","4.4","99.5%"
"2","Terry McLaurin (WAS)","12","14","85.7%","107","8.9","9","38.9%","0","0","0","0%","0","17","64.7","3.8","96.9%"
"3","Ja'Marr Chase (CIN)","20","33","60.6%","162","8.1","7","44.0%","0","0","0","0%","0","17","58.2","3.4","99.4%"
"4","Brian Thomas Jr. (JAC)","9","14","64.3%","80","8.9","8","35.0%","0","0","0","0.0%","0","17","56.0","3.3","99.0%"
"5","Jordan Addison (MIN)","16","17","94.1%","96","6.0","6","35.4%","1","7","1","33.3%","0","15","52.3","3.5","88.2%"
"6","Tee Higgins (CIN)","14","23","60.9%","95","6.8","7","30.7%","0","0","0","0%","0","12","51.5","4.3","97.6%"
"7","Courtland Sutton (DEN)","12","21","57.1%","115","9.6","6","47.7%","0","0","0","0%","1","17","49.6","2.9","92.1%"
"8","Jalen Tolbert (DAL)","8","13","61.5%","58","7.3","7","28.3%","0","0","0","0.0%","0","17","47.8","2.8","16.0%"
"9","Justin Jefferson (MIN)","15","22","68.2%","118","7.9","6","45.8%","0","0","0","0.0%","0","17","47.8","2.8","99.0%"
"10","Drake London (ATL)","14","23","60.9%","114","8.1","6","65.7%","0","0","0","0.0%","0","17","47.4","2.8","98.1%"
"11","Mike Evans (TB)","8","13","61.5%","32","4.0","7","31.0%","0","0","0","0.0%","0","14","45.2","3.2","97.3%"
"12","Nick Westbrook-Ikhine (MIA)","7","10","70.0%","51","7.3","6","38.5%","0","0","0","0.0%","0","14","41.1","2.9","3.4%"
"13","Xavier Worthy (KC)","11","18","61.1%","77","7.0","4","36.7%","7","19","1","70.0%","0","17","39.6","2.3","94.3%"
"14","Andrei Iosivas (CIN)","6","9","66.7%","28","4.7","6","12.0%","0","0","0","0%","0","17","38.8","2.3","8.1%"
"15","Jaxon Smith-Njigba (SEA)","8","15","53.3%","78","9.8","5","44.1%","0","0","0","0%","0","17","37.8","2.2","97.2%"
"16","Rashod Bateman (BAL)","6","8","75.0%","71","11.8","5","44.4%","0","0","0","0.0%","0","17","37.1","2.2","34.2%"
"17","Jayden Reed (GB)","9","11","81.8%","68","7.6","5","23.9%","2","0","0","66.7%","0","17","36.8","2.2","81.5%"
"18","Jauan Jennings (SF)","8","15","53.3%","63","7.9","5","33.3%","0","0","0","0.0%","0","15","36.3","2.4","83.4%"
"19","Davante Adams (LAR)","11","23","47.8%","60","5.5","5","37.7%","0","0","0","0.0%","0","14","36.0","2.6","96.5%"
"20","Tyreek Hill (MIA)","9","18","50.0%","57","6.3","5","50.0%","0","0","0","0.0%","0","17","35.7","2.1","97.6%"
"21","Ladd McConkey (LAC)","7","8","87.5%","54","7.7","5","28.6%","0","0","0","0.0%","0","16","35.4","2.2","98.5%"
"22","Puka Nacua (LAR)","10","13","76.9%","85","8.5","3","29.5%","4","25","1","66.7%","0","11","35.0","3.2","98.9%"
"23","Keenan Allen (LAC)","6","15","40.0%","44","7.3","5","27.3%","0","0","0","0%","0","15","34.4","2.3","21.1%"
"24","DeAndre Hopkins (BAL)","5","11","45.5%","29","5.8","5","22.4%","0","0","0","0.0%","0","16","32.9","2.1","20.0%"
"25","Dontayvion Wicks (GB)","10","13","76.9%","84","8.4","4","28.3%","0","0","0","0.0%","0","17","32.4","1.9","20.4%"
"26","Demarcus Robinson (SF)","5","10","50.0%","17","3.4","5","22.7%","0","0","0","0.0%","0","17","31.7","1.9","9.7%"
"27","CeeDee Lamb (DAL)","11","18","61.1%","92","8.4","4","39.1%","1","3","0","33.3%","1","15","31.5","2.1","98.7%"
"28","Jalen McMillan (TB)","7","8","87.5%","65","9.3","4","19.0%","0","0","0","0.0%","0","13","30.5","2.3","29.3%"
"29","Garrett Wilson (NYJ)","11","23","47.8%","64","5.8","4","37.7%","0","0","0","0.0%","0","17","30.4","1.8","96.4%"
"30","A.J. Brown (PHI)","7","11","63.6%","51","7.3","4","36.7%","0","0","0","0.0%","0","13","29.1","2.2","99.0%"
"31","Quentin Johnston (LAC)","5","9","55.6%","46","9.2","4","32.1%","0","0","0","0.0%","0","15","28.6","1.9","32.9%"
"32","Cooper Kupp (SEA)","6","10","60.0%","41","6.8","4","22.7%","1","1","0","16.7%","0","12","28.2","2.4","86.5%"
"33","Stefon Diggs (NE)","5","5","100.0%","34","6.8","3","13.5%","1","6","1","50.0%","0","8","28.0","3.5","84.6%"
"34","Marvin Harrison Jr. (ARI)","4","11","36.4%","36","9.0","4","44.0%","0","0","0","0.0%","0","17","27.6","1.6","96.1%"
"35","Alec Pierce (IND)","4","6","66.7%","30","7.5","4","15.4%","0","0","0","0.0%","0","16","27.0","1.7","20.8%"
"36","Mack Hollins (NE)","4","6","66.7%","27","6.8","4","15.8%","0","0","0","0.0%","0","17","26.7","1.6","2.8%"
"37","Romeo Doubs (GB)","8","11","72.7%","82","10.3","3","23.9%","0","0","0","0.0%","0","13","26.2","2.0","28.3%"
"38","Xavier Legette (CAR)","5","10","50.0%","21","4.2","4","22.2%","0","0","0","0.0%","0","16","26.1","1.6","31.2%"
"39","Nico Collins (HOU)","6","12","50.0%","19","3.2","4","32.4%","0","0","0","0.0%","0","12","25.9","2.2","99.3%"
"40","Jalen Nailor (MIN)","4","7","57.1%","26","6.5","4","14.6%","2","-7","0","66.7%","0","17","25.9","1.5","5.7%"
"41","Tre Tucker (LV)","5","5","100.0%","54","10.8","2","17.9%","3","21","1","42.9%","0","17","25.5","1.5","4.1%"
"42","Jakobi Meyers (LV)","8","15","53.3%","71","8.9","3","53.6%","0","0","0","0.0%","0","15","25.1","1.7","84.5%"
"43","Deebo Samuel Sr. (WAS)","10","14","71.4%","50","5.0","2","31.1%","10","18","1","90.9%","0","15","24.8","1.7","86.5%"
"44","Wan'Dale Robinson (NYG)","10","17","58.8%","57","5.7","3","48.6%","0","0","0","0.0%","0","17","23.7","1.4","27.5%"
"45","George Pickens (DAL)","7","16","43.8%","72","10.3","3","50.0%","0","0","0","0%","1","14","23.2","1.7","91.9%"
"46","Chris Godwin (TB)","7","7","100.0%","47","6.7","3","16.7%","0","0","0","0.0%","0","7","22.7","3.2","87.8%"
"47","Michael Wilson (ARI)","6","8","75.0%","45","7.5","3","32.0%","0","0","0","0.0%","0","16","22.5","1.4","11.4%"
"48","Michael Pittman Jr. (IND)","7","12","58.3%","43","6.1","3","30.8%","0","0","0","0.0%","0","16","22.3","1.4","70.2%"
"49","DeVonta Smith (PHI)","8","12","66.7%","38","4.8","3","40.0%","1","1","0","100.0%","0","13","21.9","1.7","93.2%"
"50","Allen Lazard (NYJ)","5","11","45.5%","38","7.6","3","18.0%","0","0","0","0.0%","0","12","21.8","1.8","3.9%"
"51","Tim Patrick (DET)","6","8","75.0%","37","6.2","3","15.4%","0","0","0","0.0%","0","16","21.7","1.4","3.0%"
"52","Rome Odunze (CHI)","6","17","35.3%","36","6.0","3","30.9%","0","0","0","0%","0","17","21.6","1.3","86.6%"
"53","Zay Flowers (BAL)","3","7","42.9%","31","10.3","3","38.9%","2","-1","0","100.0%","0","17","21.0","1.2","93.7%"
"54","Malik Nabers (NYG)","5","13","38.5%","30","6.0","3","37.1%","1","-2","0","33.3%","0","15","20.8","1.4","99.2%"
"55","DJ Moore (CHI)","12","20","60.0%","80","6.7","2","36.4%","0","0","0","0%","0","17","20.0","1.2","94.3%"
"56","Gabe Davis (FA)","5","11","45.5%","66","13.2","2","27.5%","0","0","0","0.0%","0","10","18.6","1.9","12.6%"
"57","Khalil Shakir (BUF)","9","10","90.0%","53","5.9","2","26.3%","0","0","0","0.0%","0","15","17.3","1.2","83.2%"
"58","Tank Dell (HOU)","5","9","55.6%","45","9.0","2","24.3%","1","4","0","50.0%","0","14","16.9","1.2","18.3%"
"59","David Moore (CAR)","5","10","50.0%","47","9.4","2","22.2%","1","0","0","50.0%","0","17","16.7","1.0","0.8%"
"60","Josh Downs (IND)","7","13","53.8%","44","6.3","2","33.3%","0","0","0","0.0%","0","14","16.4","1.2","62.4%"
"61","Calvin Ridley (TEN)","4","8","50.0%","23","5.8","1","30.8%","2","20","1","100.0%","0","17","16.3","1.0","87.7%"
"62","Olamide Zaccheaus (CHI)","7","8","87.5%","43","6.1","2","22.2%","0","0","0","0%","0","17","16.3","1.0","1.6%"
"63","Devaughn Vele (DEN)","5","6","83.3%","42","8.4","2","13.6%","0","0","0","0%","0","13","16.2","1.2","5.0%"
"64","Jameson Williams (DET)","6","11","54.5%","39","6.5","1","21.2%","1","3","1","50.0%","0","15","16.2","1.1","91.3%"
"65","Adam Thielen (CAR)","4","6","66.7%","40","10.0","2","13.3%","0","0","0","0.0%","0","10","16.0","1.6","39.0%"
"66","DJ Turner (FA)","1","4","25.0%","11","11.0","1","14.3%","3","27","1","42.9%","0","13","15.8","1.2","1.0%"
"67","JuJu Smith-Schuster (KC)","4","6","66.7%","34","8.5","2","12.2%","0","0","0","0.0%","0","14","15.4","1.1","1.8%"
"68","Keon Coleman (BUF)","4","11","36.4%","29","7.3","2","28.9%","0","0","0","0.0%","0","13","14.9","1.1","63.4%"
"69","Justin Watson (HOU)","4","4","100.0%","29","7.3","2","8.2%","0","0","0","0.0%","0","16","14.9","0.9","1.0%"
"70","Amari Cooper (FA)","4","5","80.0%","28","7.0","2","13.2%","0","0","0","0.0%","0","13","14.8","1.1","13.3%"
"71","Van Jefferson (TEN)","5","8","62.5%","27","5.4","2","25.0%","0","0","0","0%","0","15","14.7","1.0","1.8%"
"72","Troy Franklin (DEN)","4","7","57.1%","23","5.8","2","15.9%","0","0","0","0%","0","16","14.3","0.9","7.5%"
"73","Jamison Crowder (FA)","3","3","100.0%","22","7.3","2","8.3%","0","0","0","0%","0","5","14.2","2.8","1.0%"
"74","Diontae Johnson (CLE)","3","11","27.3%","18","6.0","2","24.4%","0","0","0","0.0%","0","11","13.8","1.3","17.5%"
"75","Nelson Agholor (FA)","2","2","100.0%","17","8.5","2","11.1%","0","0","0","0.0%","0","13","13.7","1.1","1.0%"
"76","Ryan Miller (TB)","2","3","66.7%","14","7.0","2","7.1%","0","0","0","0.0%","0","11","13.4","1.2","1.0%"
"77","Ja'Lynn Polk (NE)","2","4","50.0%","7","3.5","2","20.0%","1","0","0","100.0%","0","15","12.7","0.8","2.5%"
"78","Malik Heath (GB)","2","2","100.0%","6","3.0","2","4.3%","0","0","0","0.0%","0","12","12.6","1.1","0.6%"
"79","Brandin Cooks (NO)","2","4","50.0%","5","2.5","2","8.7%","1","-3","0","33.3%","0","10","12.2","1.2","11.2%"
"80","Chris Olave (NO)","4","6","66.7%","55","13.8","1","37.5%","0","0","0","0.0%","0","8","11.5","1.4","88.3%"
"81","Jaylen Waddle (MIA)","6","9","66.7%","50","8.3","1","25.0%","2","2","0","66.7%","0","16","11.2","0.7","89.4%"
"82","Greg Dortch (ARI)","6","6","100.0%","37","6.2","1","24.0%","2","10","0","100.0%","0","17","10.7","0.6","4.6%"
