Unnamed: 0_level_0,Unnamed: 1_level_0,RUSHING,RUSHING,RUSHING,RUSHING,RUSHING,RUSHING,RECEIVING,RECEIVING,RECEIVING,RECEIVING,RECEIVING,MISC,MISC,MISC,MISC,MISC
Rank,Player,ATT,YDS,Y/A,LG,20+,TD,REC,TGT,YDS,Y/R,TD,FL,G,FPTS,FPTS/G,ROST
1,Saquon Barkley (PHI),345,2005,5.8,72,17,13,33,43,278,8.4,2,1,16,338.8,21.2,99.0%
2,Jahmyr Gibbs (DET),250,1412,5.6,70,13,16,52,63,517,9.9,4,1,17,336.9,19.8,99.0%
3,Derrick Henry (BAL),325,1921,5.9,87,19,16,19,22,193,10.2,2,1,17,326.9,19.2,98.7%
4,Bijan Robinson (ATL),304,1456,4.8,37,5,14,61,72,431,7.1,1,0,17,311.2,18.3,98.7%
5,Josh Jacobs (GB),301,1329,4.4,38,7,15,36,43,342,9.5,1,3,17,275.1,16.2,98.5%
6,De'Von Achane (MIA),203,907,4.5,61,5,6,78,87,592,7.6,6,0,17,260.9,15.3,98.3%
7,Kyren Williams (LAR),316,1299,4.1,30,2,14,34,40,182,5.4,2,3,16,255.1,15.9,97.7%
8,James Cook (BUF),207,1009,4.9,65,6,16,32,38,258,8.1,2,0,16,250.7,15.7,97.6%
9,Jonathan Taylor (IND),303,1431,4.7,70,11,11,18,31,136,7.6,1,1,14,235.7,16.8,98.3%
10,Alvin Kamara (NO),228,950,4.2,24,3,6,68,89,543,8.0,2,0,14,231.3,16.5,95.5%
11,James Conner (ARI),236,1094,4.6,53,6,8,47,55,414,8.8,1,1,16,230.3,14.4,93.4%
12,Chase Brown (CIN),229,990,4.3,40,8,7,54,65,360,6.7,4,1,16,228.0,14.3,96.0%
13,Joe Mixon (HOU),245,1016,4.1,59,8,11,36,52,309,8.6,1,0,14,222.5,15.9,95.0%
14,Bucky Irving (TB),207,1122,5.4,56,8,8,47,52,392,8.3,0,1,17,220.9,13.0,98.9%
