feature,importance
fantasy_ppg,0.21302940520110736
drop_rate,0.14270887076860117
passes_20_plus,0.04679382969005723
age,0.042238396029282387
pressure_rate,0.04098803452897886
sack_rate,0.03563952261479631
passes_10_plus,0.03499195215732886
rtg,0.03451341876385903
int_rate,0.031468840767329836
durability,0.025196798344976637
completions,0.024627048251877753
completion_pct,0.02393731322985928
yards_per_game,0.022455533664768736
yards_per_attempt,0.01969912470581601
attempts,0.0185899280314691
rz_sack_rate,0.018339185802540955
air_per_a,0.016466142170965554
rz_rush_att_per_game,0.01575531066605335
rz_pass_att_per_game,0.015567443292440744
passes_30_plus,0.0154936043289481
rz_yards_per_attempt,0.01512968689187883
pocket_time,0.01486715790208954
rz_completion_pct,0.01432394844876441
y_per_a,0.013627611575890609
passes_50_plus,0.013274716968469859
knockdown_rate,0.012350933052559193
passes_40_plus,0.012241107142787028
poor_throw_rate,0.01187434148548546
rz_td_rate,0.011033029693861409
td_rate,0.010573756449340417
total_yards,0.010295174097645875
rz_int_rate,0.008082015989418979
games_played,0.0072356576472089274
rz_rush_td_rate,0.006591159643542214
completion_pct_advanced,0.0
air_yards,0.0
injury_risk_score,0.0
career_injuries,0.0
projected_games_missed,0.0
