feature,importance
fantasy_ppg,0.44133425538987797
passes_10_plus,0.126376861218985
carries_per_game,0.0631338738907788
age,0.048514685976776356
total_yards,0.027250480754035838
receptions_per_game,0.021044967149403578
brktkl,0.020810988301886053
yards_per_carry,0.019907144931261667
rz_rush_yards_per_attempt,0.019012097447184857
rz_receptions_per_game,0.01802589737213076
yards_before_contact_per_attempt,0.017968880801592278
catch_rate,0.01678334251576174
rz_carries_per_game,0.015268883245303191
yards_per_attempt_rb,0.014513942211032195
longest_run,0.01442438887594523
targets_advanced,0.014417194801514597
yards_after_contact_per_attempt,0.014210551121768528
receptions_advanced,0.013402011720506165
durability,0.013179565862708175
longest_touchdown,0.012251067495514571
rz_rush_td_rate,0.011927588026750641
tackled_for_loss,0.010885274133858895
games_played,0.007730745469057795
rz_receiving_td_rate,0.005783529955665391
passes_20_plus,0.005125643669707284
passes_30_plus,0.0047767220030428496
passes_50_plus,0.0010006585368123894
passes_40_plus,0.0009387571211371195
y_per_a,0.0
air_per_a,0.0
yac_per_r,0.0
rtg,0.0
rz_rush_att_per_game,0.0
rz_target_share,0.0
injury_risk_score,0.0
career_injuries,0.0
projected_games_missed,0.0
