feature,importance,position
fantasy_ppg,0.21302940520110736,QB
drop_rate,0.14270887076860117,QB
passes_20_plus,0.04679382969005723,QB
age,0.042238396029282387,QB
pressure_rate,0.04098803452897886,QB
fantasy_ppg,0.44133425538987797,RB
passes_10_plus,0.126376861218985,RB
carries_per_game,0.0631338738907788,RB
age,0.048514685976776356,RB
total_yards,0.027250480754035838,RB
fantasy_ppg,0.33007345565011503,WR
passes_10_plus,0.1891251370753019,WR
receptions_per_game,0.05615450678914141,WR
targets_per_game,0.04692589106432577,WR
catchable_targets,0.04449625601624015,WR
passes_10_plus,0.2247722608483145,TE
fantasy_ppg,0.1795863417693797,TE
age,0.09633398766529584,TE
targets_per_game,0.07202261147868642,TE
yards_before_catch,0.06987108163325338,TE
