feature,importance
passes_10_plus,0.2247722608483145
fantasy_ppg,0.1795863417693797
age,0.09633398766529584
targets_per_game,0.07202261147868642
yards_before_catch,0.06987108163325338
catchable_targets,0.046411904940456085
yards_after_catch,0.035974583476551136
total_yards,0.03224923443702459
catch_rate,0.020727299710110364
longest_run,0.01935948598982246
yards_after_contact_per_reception,0.018484156889217868
rz_targets_per_game,0.0183499790036645
yards_per_reception_advanced,0.016284039250315862
receptions_per_game,0.014460861123343959
rz_receptions_per_game,0.014049409150191466
durability,0.013851553256057627
rz_receiving_td_rate,0.012987915240429424
yards_before_catch_per_reception,0.012013112472883376
yac_per_r,0.011929739656559152
rz_yards_per_reception,0.011416337906184118
passes_20_plus,0.009717088154474241
brktkl,0.009283606575921019
yards_per_reception,0.008619666066233975
games_played,0.006772334893915386
rz_rush_att_per_game,0.006352823706528904
air_yards_per_reception,0.004490766605769356
passes_30_plus,0.004354103941739986
air_yards_wr,0.004311891484557914
rz_rush_td_rate,0.00266542198344811
passes_40_plus,0.0020301138141336373
passes_50_plus,0.00026628687553562503
y_per_a,0.0
rtg,0.0
yards_after_catch_per_reception,0.0
team_target_share,0.0
rz_target_share,0.0
injury_risk_score,0.0
career_injuries,0.0
projected_games_missed,0.0
